GHz,dB
11.82,-15.3532927,
11.84,-15.3588913,
11.86,-15.4048281,
11.88,-15.4721273,
11.9,-15.5425527,
11.92,-15.6025499,
11.94,-15.6466386,
11.96,-15.6719328,
11.98,-15.6708756,
12,-15.659802,
12.02,-15.6677111,
12.04,-15.706302,
12.06,-15.7711805,
12.08,-15.8500033,
12.1,-15.9257473,
12.12,-15.9813497,
12.14,-16.0087337,
12.16,-16.0065439,
12.18,-15.9862734,
12.2,-15.9644142,
12.22,-15.9589551,
12.24,-15.9791629,
12.26,-16.0263106,
12.28,-16.091418,
12.3,-16.1586915,
12.32,-16.2113168,
12.34,-16.2371833,
12.36,-16.2321195,
12.38,-16.2040221,
12.4,-16.1670691,
12.42,-16.1397359,
12.44,-16.1341666,
12.46,-16.1553462,
12.48,-16.198972,
12.5,-16.2512755,
12.52,-16.2965232,
12.54,-16.3215127,
12.56,-16.3175312,
12.58,-16.2880222,
12.6,-16.2450742,
12.62,-16.2040182,
12.64,-16.1799279,
12.66,-16.1799298,
12.68,-16.2023386,
12.7,-16.2394375,
12.72,-16.2778315,
12.74,-16.3039021,
12.76,-16.3084414,
12.78,-16.2897209,
12.8,-16.2546668,
12.82,-16.2163739,
12.84,-16.1888828,
12.86,-16.1793658,
12.88,-16.1894415,
12.9,-16.2146869,
12.92,-16.2467659,
12.94,-16.2761354,
12.96,-16.2925581,
12.98,-16.2908546,
13,-16.2750019,
13.02,-16.2529689,
13.04,-16.2366208,
13.06,-16.2309923,
13.08,-16.2383148,
13.1,-16.2574873,
13.12,-16.2857583,
13.14,-16.3169635,
13.16,-16.3442886,
13.18,-16.3614118,
13.2,-16.3677021,
13.22,-16.3676993,
13.24,-16.3688418,
13.26,-16.3751379,
13.28,-16.3877363,
13.3,-16.4083894,
13.32,-16.438886,
13.34,-16.4810709,
13.36,-16.5292797,
13.38,-16.5689794,
13.4,-16.5842092,
13.42,-16.5836233,
13.44,-16.584795,
13.46,-16.593004,
13.48,-16.6035715,
13.5,-16.6129777,
13.52,-16.6223947,
13.54,-16.6359451,
13.56,-16.6566091,
13.58,-16.681471,
13.6,-16.7034294,
13.62,-16.7206786,
13.64,-16.73379,
13.66,-16.7439365,
13.68,-16.7522974,
13.7,-16.7594685,
13.72,-16.7690447,
13.74,-16.7858309,
13.76,-16.8104633,
13.78,-16.8393858,
13.8,-16.8659872,
13.82,-16.8866002,
13.84,-16.9011776,
13.86,-16.9115193,
13.88,-16.9188289,
13.9,-16.9243101,
13.92,-16.9316326,
13.94,-16.9450651,
13.96,-16.9670887,
13.98,-16.9953113,
14,-17.022396,
14.02,-17.0433845,
14.04,-17.0557495,
14.06,-17.0638022,
14.08,-17.0693796,
14.1,-17.0743377,
14.12,-17.0811608,
14.14,-17.0942071,
14.16,-17.1159907,
14.18,-17.1440809,
14.2,-17.1710051,
14.22,-17.1898409,
14.24,-17.1992718,
14.26,-17.2030491,
14.28,-17.2049362,
14.3,-17.2087152,
14.32,-17.2162767,
14.34,-17.2307898,
14.36,-17.2535501,
14.38,-17.2827228,
14.4,-17.3113565,
14.42,-17.3311363,
14.44,-17.340728,
14.46,-17.3452061,
14.48,-17.3503239,
14.5,-17.361854,
14.52,-17.381109,
14.54,-17.4132955,
14.56,-17.4559589,
14.58,-17.4988361,
14.6,-17.5281935,
14.62,-17.5425841,
14.64,-17.5458556,
14.66,-17.5451984,
14.68,-17.547163,
14.7,-17.5583052,
14.72,-17.5779998,
14.74,-17.603011,
14.76,-17.6300777,
14.78,-17.6618694,
14.8,-17.6931182,
14.82,-17.7171228,
14.84,-17.7291565,
14.86,-17.7325009,
14.88,-17.7358445,
14.9,-17.7458921,
14.92,-17.7660115,
14.94,-17.7949438,
14.96,-17.8314058,
14.98,-17.8727846,
15,-17.9143567,
15.02,-17.947896,
15.04,-17.9671182,
15.06,-17.9739968,
15.08,-17.9781217,
15.1,-17.9884522,
15.12,-18.0084592,
15.14,-18.038898,
15.16,-18.0771,
15.18,-18.1224665,
15.2,-18.1680647,
15.22,-18.2068424,
15.24,-18.2308973,
15.26,-18.2394071,
15.28,-18.2415348,
15.3,-18.2464987,
15.32,-18.2621304,
15.34,-18.2913371,
15.36,-18.3313833,
15.38,-18.3802563,
15.4,-18.4330423,
15.42,-18.4810356,
15.44,-18.5139158,
15.46,-18.5278348,
15.48,-18.5293003,
15.5,-18.5293,
15.52,-18.541774,
15.54,-18.5711971,
15.56,-18.6177416,
15.58,-18.6742269,
15.6,-18.7310812,
15.62,-18.7837775,
15.64,-18.8223713,
15.66,-18.8375544,
15.68,-18.8269254,
15.7,-18.8041899,
15.72,-18.7860399,
15.74,-18.7852869,
15.76,-18.8049489,
15.78,-18.8428759,
15.8,-18.8954954,
15.82,-18.9522815,
15.84,-18.9985949,
15.86,-19.0226231,
15.88,-19.0210699,
15.9,-19.0032419,
15.92,-18.9854496,
15.94,-18.9800384,
15.96,-18.9939484,
15.98,-19.0280567,
16,-19.0802489,
16.02,-19.1421948,
16.04,-19.1982429,
16.06,-19.2323695,
16.08,-19.2379334,
16.1,-19.2196534,
16.12,-19.192704,
16.14,-19.1729356,
16.16,-19.1697802,
16.18,-19.1879507,
16.2,-19.2268019,
16.22,-19.2802026,
16.24,-19.333938,
16.26,-19.3726358,
16.28,-19.383958,
16.3,-19.3694073,
16.32,-19.3395686,
16.34,-19.3114422,
16.36,-19.2978115,
16.38,-19.3010172,
16.4,-19.3226827,
16.42,-19.3581083,
16.44,-19.397725,
16.46,-19.4245095,
16.48,-19.4310188,
16.5,-19.4155722,
16.52,-19.3888113,
16.54,-19.3613335,
16.56,-19.3427918,
16.58,-19.3347452,
16.6,-19.3355472,
16.62,-19.3460105,
16.64,-19.3653671,
16.66,-19.3888151,
16.68,-19.40827,
16.7,-19.4204462,
16.72,-19.4310135,
16.74,-19.447301,
16.76,-19.4709688,
16.78,-19.4922474,
16.8,-19.5037215,
16.82,-19.5070032,
16.84,-19.5152111,
16.86,-19.5390682,
16.88,-19.5836639,
16.9,-19.6476489,
16.92,-19.7306151,
16.94,-19.8220358,
16.96,-19.8972481,
16.98,-19.9506307,
17,-19.9757138,
17.02,-19.9679217,
17.04,-19.9454473,
17.06,-19.9368235,
17.08,-19.9661911,
17.1,-20.0460702,
17.12,-20.1729968,
17.14,-20.3263022,
17.16,-20.4637418,
17.18,-20.555943,
17.2,-20.5982718,
17.22,-20.5887851,
17.24,-20.5483533,
17.26,-20.5155707,
17.28,-20.5230405,
17.3,-20.5888786,
17.32,-20.7143356,
17.34,-20.881725,
17.36,-21.0567192,
17.38,-21.1978424,
17.4,-21.2742501,
17.42,-21.2778718,
17.44,-21.2288052,
17.46,-21.1652008,
17.48,-21.1284276,
17.5,-21.1506124,
17.52,-21.2428248,
17.54,-21.39182,
17.56,-21.5632544,
17.58,-21.7127133,
17.6,-21.8035332,
17.62,-21.8199041,
17.64,-21.7715206,
17.66,-21.689049,
17.68,-21.6134167,
17.7,-21.5829304,
17.72,-21.6203221,
17.74,-21.7250999,
17.76,-21.8712517,
17.78,-22.016399,
17.8,-22.1177791,
17.82,-22.1485364,
17.84,-22.1063702,
17.86,-22.0116889,
17.88,-21.9015798,
17.9,-21.8172271,
17.92,-21.7905003,
17.94,-21.8337317,
17.96,-21.9346184,
17.98,-22.0589,
18,-22.1624518,
18.02,-22.2088115,
18.04,-22.1823065,
18.06,-22.0922121,
18.08,-21.9673465,
18.1,-21.8469367,
18.12,-21.7675811,
18.14,-21.7506694,
18.16,-21.7973345,
18.18,-21.8859169,
18.2,-21.9783569,
18.22,-22.0337258,
18.24,-22.0246189,
18.26,-21.9475426,
18.28,-21.823547,
18.3,-21.6895765,
18.32,-21.5823048,
18.34,-21.5256927,
18.36,-21.5262102,
18.38,-21.5739714,
18.4,-21.6429612,
18.42,-21.6980211,
18.44,-21.7081658,
18.46,-21.6615561,
18.48,-21.5689759,
18.5,-21.4582418,
18.52,-21.3601701,
18.54,-21.2960033,
18.56,-21.2737471,
18.58,-21.2909631,
18.6,-21.3347093,
18.62,-21.3813245,
18.64,-21.4040629,
18.66,-21.3864176,
18.68,-21.3324816,
18.7,-21.2625908,
18.72,-21.2006343,
18.74,-21.1604343,
18.76,-21.1435744,
18.78,-21.1492237,
18.8,-21.1749405,
18.82,-21.2112121,
18.84,-21.2414213,
18.86,-21.2508461,
18.88,-21.238917,
18.9,-21.2204041,
18.92,-21.2102146,
18.94,-21.2133099,
18.96,-21.2236036,
18.98,-21.2377146,
19,-21.259377,
19.02,-21.2921725,
19.04,-21.3299505,
19.06,-21.3625068,
19.08,-21.3875384,
19.1,-21.4151988,
19.12,-21.4576249,
19.14,-21.5146211,
19.16,-21.576783,
19.18,-21.6336257,
19.2,-21.6796642,
19.22,-21.7131372,
19.24,-21.7370792,
19.26,-21.7565158,
19.28,-21.7724797,
19.3,-21.7929552,
19.32,-21.827834,
19.34,-21.8768555,
19.36,-21.9284346,
19.38,-21.9730136,
19.4,-22.0125654,
19.42,-22.0572488,
19.44,-22.1096913,
19.46,-22.1606694,
19.48,-22.2014224,
19.5,-22.2360729,
19.52,-22.2762788,
19.54,-22.3290428,
19.56,-22.389101,
19.58,-22.4490028,
19.6,-22.5092042,
19.62,-22.5764833,
19.64,-22.6502965,
19.66,-22.7160697,
19.68,-22.7598783,
19.7,-22.7827028,
19.72,-22.8017508,
19.74,-22.8356342,
19.76,-22.8901011,
19.78,-22.9600431,
19.8,-23.042503,
19.82,-23.1387099,
19.84,-23.2422998,
19.86,-23.3353998,
19.88,-23.3975975,
19.9,-23.4274463,
19.92,-23.4451214,
19.94,-23.4813569,
19.96,-23.557685,
19.98,-23.6791526,
20,-23.8353744,
20.02,-24.0003768,
20.04,-24.1276837,
20.06,-24.1779819,
20.08,-24.1573515,
20.1,-24.1063363,
20.12,-24.0676815,
20.14,-24.0729541,
20.16,-24.1345317,
20.18,-24.2323898,
20.2,-24.3159304,
20.22,-24.3491149,
20.24,-24.3428111,
